id;start_date;end_date;language
1;2020-09-26T14:09:29;2020-09-26T11:59:44;SPANISH
2;2020-09-25T18:59:40;2020-09-26T14:04:05;SPANISH
3;2020-09-26T09:54:59;2020-09-25T20:29:08;FRENCH
4;2020-09-26T01:12:30;2020-09-26T12:43:56;FRENCH
5;2020-09-26T10:42:48;2020-09-26T15:29:47;FRENCH
6;2020-09-26T04:35:09;2020-09-26T16:43:23;FRENCH
7;2020-09-26T06:20:29;2020-09-26T00:11:20;FRENCH
8;2020-09-26T05:16:42;2020-09-26T15:32:50;SPANISH
9;2020-09-26T03:57:51;2020-09-26T00:39:14;SPANISH
10;2020-09-26T12:09:55;2020-09-25T22:44:25;SPANISH
